provider_name,address1,address2,city,county,state_code,zip,national_drug_code,order_label,courses_available,geocoded_address,npi,last_report_date,provider_status,provider_note
Fairweather,1120 N Muldoon Rd,,Anchorage,Anchorage,AK,99504,00002-7589-01,Bebtelovimab,35,POINT (-149.733661 61.229486),1386054344,2022-06-28T00:00:00.000,ACTIVE,
ALCAN MEDICAL GROUP,751 OLDRICHARDSON HWY STE 101,,Fairbanks,Fairbanks North Star,AK,99701,00002-7589-01,Bebtelovimab,18,POINT (-147.6797 64.81817),1134739485,2022-07-03T00:00:00.000,ACTIVE,
Bassett Army Community Hospital,Bldg 3567 Neely Rd.,,Fort Wainwright,Fairbanks North Star,AK,99703,00002-7589-01,Bebtelovimab,18,POINT (-147.6430812 64.8277595),,2022-05-10T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
BARTLETT REGIONAL HOSPITAL,3260 HOSPITAL DR,Pharmacy,Juneau,Juneau,AK,99801,00002-7589-01,Bebtelovimab,38,POINT (-134.47033 58.33024),1891849261,2022-07-02T00:00:00.000,ACTIVE,
SOUTH PENINSULA HOSPITAL INC,4300 Bartlett St,,Homer,Kenai Peninsula,AK,99603,00002-7589-01,Bebtelovimab,33,POINT (-151.55009 59.65264),1871695270,2022-06-28T00:00:00.000,ACTIVE,
North Star Health Clinic Pharmacy,201 3RD AVE STE 221 BOX 2088,c/o PHARMACY,Seward,Kenai Peninsula,AK,99664,00002-7589-01,Bebtelovimab,15,POINT (-149.44264 60.101315),1649477126,2022-06-30T00:00:00.000,ACTIVE,
PROVIDENCE SEWARD MEDICAL CENTER,417 1st Ave,,Seward,Kenai Peninsula,AK,99664,00002-7589-01,Bebtelovimab,7,POINT (-149.446375 60.10534),1396858155,2022-06-29T00:00:00.000,ACTIVE,
CREEKSIDE FAMILY HEALTH CLINIC,320 BAWDEN ST STE 313,,Ketchikan,Ketchikan Gateway,AK,99901,00002-7589-01,Bebtelovimab,10,POINT (-131.644072 55.34282),1477847184,2022-06-17T00:00:00.000,UNKNOWN INVENTORY,Inventory has not been reported in the last 2 weeks. Please contact provider to make sure product is available.
KODIAK AREA NATIVE ASSOCIATION,3449 E. Rezanof Dr.,C/O Pharmacy,Kodiak,Kodiak Island,AK,99615,00002-7589-01,Bebtelovimab,6,POINT (-152.35542 57.81233),1003973041,2022-06-27T00:00:00.000,ACTIVE,
KODIAK ISLAND AMBULATORY CARE CLINI,202 Center ave,Suite 102,Kodiak,Kodiak Island,AK,99615,00002-7589-01,Bebtelovimab,5,POINT (-152.40627 57.78884),1366596504,2022-06-23T00:00:00.000,ACTIVE,
THE FAMILY HEALTH CENTER,"561 S DENALI ST, STE E",,Palmer,Matanuska Susitna,AK,99645,00002-7589-01,Bebtelovimab,17,POINT (-149.107213 61.600325),1053851949,2022-06-30T00:00:00.000,ACTIVE,
ARCTIC SKYE FAMILY MEDICINE,2851 E PALMER WASILLA HIGHWAY #3,,Wasilla,Matanuska Susitna,AK,99654,00002-7589-01,Bebtelovimab,10,POINT (-149.37877 61.58598),1205035573,2022-07-02T00:00:00.000,ACTIVE,
