2022-03-08T14-40-56,04268,STEPHENS MEMORIAL HOSPITAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,5,,
2022-04-22T05-26-18,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-05-02T06-02-50,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-05-03T06-05-23,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,22,04/26/2022 12:00:00 AM
2022-05-04T05-12-02,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,16,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
2022-05-11T06-51-12,04268,STEPHENS MEMORIAL HOSPITAL,NLP,NLP,NLP,14,05/05/2022 12:00:00 AM
