2022-02-18T16-04-21,10003,MOUNT SINAI BETH ISRAEL,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,10003,MOUNT SINAI BETH ISRAEL,02/24/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,10003,MOUNT SINAI BETH ISRAEL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,10003,MOUNT SINAI BETH ISRAEL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-06-11T04-15-14,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-15T04-15-27,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-16T04-15-45,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,66,06/10/2022 12:00:00 AM
2022-06-17T04-15-27,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-18T04-15-18,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-19T04-15-29,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-20T04-15-58,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-21T04-15-35,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-22T04-15-20,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-23T04-15-16,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-24T04-15-26,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,103,06/16/2022 12:00:00 AM
2022-06-25T04-15-18,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-06-26T04-15-17,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-06-27T04-15-31,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-06-28T04-15-44,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-06-29T04-15-40,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-06-30T04-15-32,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-01T04-15-22,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-03T14-40-38,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-04T04-15-29,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-05T04-15-18,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-06T04-15-19,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-07T04-15-17,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-07T13-15-18,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-08T04-15-19,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-09T04-15-19,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
2022-07-10T04-15-26,10003,MOUNT SINAI BETH ISRAEL,NLP,NLP,NLP,90,06/24/2022 12:00:00 AM
