2022-02-18T16-04-21,10029,MOUNT SINAI HOSPITAL,02/17/2022 12:00:00 AM,,10,623,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,10029,MOUNT SINAI HOSPITAL,02/24/2022 12:00:00 AM,,30,30,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,10029,MOUNT SINAI HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,10029,MOUNT SINAI HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,30,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,30,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,80,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,80,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,80,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,80,03/26/2022 12:00:00 AM
2022-03-29T08-50-48,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,80,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,88,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,88,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,88,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,88,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,86,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,84,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,84,04/02/2022 12:00:00 AM
2022-04-05T05-48-33,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,84,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,68,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,67,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,66,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,65,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,62,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,62,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,62,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,61,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,10029,MOUNT SINAI HOSPITAL,NLP,NLP,NLP,100,04/14/2022 12:00:00 AM
