2022-02-18T16-04-21,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,02/17/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,02/24/2022 12:00:00 AM,,50,15,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,15,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,15,02/23/2022 12:00:00 AM
2022-03-18T09-58-11,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,50,03/14/2022 12:00:00 AM
2022-03-26T06-57-27,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,90,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,10305,STATEN ISLAND UNIVERISTY-NORTH CAMP,NLP,NLP,NLP,89,03/26/2022 12:00:00 AM
