2022-07-08T04-15-19,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-09T04-15-19,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-10T04-15-26,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-11T04-15-25,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-12T04-15-22,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-13T04-15-22,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-14T04-15-29,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-15T04-15-46,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-17T04-15-18,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-18T04-15-21,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-18T07-55-19,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-19T04-15-25,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-20T04-15-41,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-21T04-15-40,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-22T04-15-29,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
2022-07-23T04-15-20,11559,Five Towns Medicine;  PC,NLP,NLP,NLP,1,07/07/2022 12:00:00 AM
