2022-02-18T16-04-21,11714,St Joseph Hospital,02/17/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,11714,St Joseph Hospital,02/24/2022 12:00:00 AM,,20,20,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,11714,St Joseph Hospital,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,19,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,11714,St Joseph Hospital,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,30,19,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,11714,St Joseph Hospital,NLP,NLP,NLP,29,03/18/2022 12:00:00 AM
