2022-02-18T16-04-21,11795,GOOD SAMARITAN HOSP MED CTR,02/17/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-04-05T05-48-33,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-06T05-45-18,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,0,02/17/2022 12:00:00 AM
2022-04-07T05-34-07,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,48,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-15T06-03-51,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-16T05-33-42,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-17T05-32-24,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-18T05-31-10,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-19T05-39-24,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,53,04/12/2022 12:00:00 AM
2022-04-20T05-27-37,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,128,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,128,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,112,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,112,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,112,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,11795,GOOD SAMARITAN HOSP MED CTR,NLP,NLP,NLP,112,04/21/2022 12:00:00 AM
