2022-02-18T16-04-21,12204,Samaritan Hosp-Albany Memorial Camp,02/17/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,12204,Samaritan Hosp-Albany Memorial Camp,02/23/2022 12:00:00 AM,,30,36,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,12204,Samaritan Hosp-Albany Memorial Camp,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,36,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,12204,Samaritan Hosp-Albany Memorial Camp,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,30,36,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,61,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,111,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,111,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,12204,Samaritan Hosp-Albany Memorial Camp,NLP,NLP,NLP,111,03/25/2022 12:00:00 AM
