2022-02-18T16-04-21,14569,WYOMING CO COMMUNITY HOSP,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,14569,WYOMING CO COMMUNITY HOSP,02/24/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,14569,WYOMING CO COMMUNITY HOSP,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,14569,WYOMING CO COMMUNITY HOSP,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,20,,
2022-04-27T05-23-49,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,25,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,22,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,20,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,18,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,18,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,17,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,17,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,14569,WYOMING CO COMMUNITY HOSP,NLP,NLP,NLP,17,05/05/2022 12:00:00 AM
