2022-02-18T16-04-21,14621,ROCHESTER GENERAL HOSPITAL,02/17/2022 12:00:00 AM,,15,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,14621,ROCHESTER GENERAL HOSPITAL,02/24/2022 12:00:00 AM,,40,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,14621,ROCHESTER GENERAL HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,15,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,14621,ROCHESTER GENERAL HOSPITAL,02/24/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-28T06-21-17,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-29T08-50-48,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-30T09-27-07,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/16/2022 12:00:00 AM
2022-03-31T08-53-07,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,40,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,70,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,70,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,70,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,70,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,14621,ROCHESTER GENERAL HOSPITAL,NLP,NLP,NLP,70,04/04/2022 12:00:00 AM
