2022-02-18T16-04-21,15323,Curtis Pharmacy - 305 LTC,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,15323,Curtis Pharmacy - 305 LTC,02/23/2022 12:00:00 AM,,75,25,02/24/2022 12:00:00 AM
2022-03-03T09-56-49,15323,Curtis Pharmacy,02/23/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,15323,Curtis Pharmacy,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-03T10-04-44,15323,Curtis Pharmacy - 305 LTC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15323,Curtis Pharmacy,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,15323,Curtis Pharmacy - 305 LTC,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,75,25,02/24/2022 12:00:00 AM
2022-03-16T18-51-35,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-05-28T05-34-18,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-29T05-31-58,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-30T05-32-42,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-05-31T08-56-01,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,40,05/27/2022 12:00:00 AM
2022-06-21T04-15-35,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,25,06/20/2022 12:00:00 AM
2022-06-22T04-15-20,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,25,06/20/2022 12:00:00 AM
2022-06-23T04-15-16,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,25,06/20/2022 12:00:00 AM
2022-06-24T04-15-26,15323,Curtis Pharmacy - 305 LTC,NLP,NLP,NLP,25,06/20/2022 12:00:00 AM
