2022-02-18T16-04-21,15425,Curtis Pharmacy- Connelsville,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,15425,Curtis Pharmacy- Connelsville,02/23/2022 12:00:00 AM,,100,25,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,15425,Curtis Pharmacy- Connelsville,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15425,Curtis Pharmacy- Connelsville,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,25,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,15425,HIGHLANDS HOSPITAL,03/07/2022 12:00:00 AM,,15,,
2022-03-16T18-51-35,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,43,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-05-21T05-54-21,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-22T09-07-10,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
2022-05-23T07-42-39,15425,Curtis Pharmacy- Connelsville,NLP,NLP,NLP,50,05/21/2022 12:00:00 AM
