2022-02-18T16-04-21,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,02/28/2022 12:00:00 AM,,50,26,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,50,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,50,30,03/02/2022 12:00:00 AM
2022-04-27T05-23-49,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-04-28T09-22-45,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-04-29T05-13-54,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-04-30T05-15-55,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-01T05-13-51,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-02T06-02-50,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-03T06-05-23,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-04T05-12-02,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-05T09-49-47,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-06T06-12-41,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-07T05-45-31,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-08T10-02-59,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-09T05-08-14,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-10T06-06-54,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-11T06-51-12,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-12T07-16-49,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,03/10/2022 12:00:00 AM
2022-05-27T05-48-57,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-05-28T05-34-18,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-05-29T05-31-58,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-05-30T05-32-42,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-05-31T08-56-01,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-01T05-37-50,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-02T07-54-10,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-03T08-50-11,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-04T19-11-08,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-05T08-48-25,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-06T06-32-51,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,0,05/12/2022 12:00:00 AM
2022-06-07T05-36-41,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,15,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,15,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,12,06/08/2022 12:00:00 AM
2022-06-10T04-15-36,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,7,06/09/2022 12:00:00 AM
2022-06-11T04-15-14,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,37,06/10/2022 12:00:00 AM
2022-06-12T04-15-15,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,37,06/10/2022 12:00:00 AM
2022-06-13T04-15-40,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,37,06/10/2022 12:00:00 AM
2022-06-14T04-15-16,15601,EXCELA HEALTH WESTMORELAND HOSPITAL,NLP,NLP,NLP,34,06/13/2022 12:00:00 AM
