2022-02-18T16-04-21,16652,PENN HIGHLANDS HUNTINGDON,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,16652,PENN HIGHLANDS HUNTINGDON,02/28/2022 12:00:00 AM,,55,,
2022-03-03T10-04-44,16652,PENN HIGHLANDS HUNTINGDON,02/28/2022 12:00:00 AM,02/25/2022 12:00:00 AM,55,,
2022-03-08T14-40-56,16652,PENN HIGHLANDS HUNTINGDON,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,55,,
2022-03-18T11-17-38,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-30T09-27-07,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-31T08-53-07,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-03-31T15-09-22,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-01T06-54-45,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-02T06-05-59,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-03T05-51-54,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-04T05-38-24,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-05T05-48-33,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-06T05-45-18,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-07T05-34-07,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-08T05-48-29,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-09T05-41-09,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-10T09-31-27,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-11T07-06-23,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-12T07-06-55,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
2022-04-13T09-20-57,16652,PENN HIGHLANDS HUNTINGDON,NLP,NLP,NLP,55,03/17/2022 12:00:00 AM
