2022-02-18T16-04-21,17822,GEISINGER MEDICAL CENTER,02/16/2022 12:00:00 AM,,80,,
2022-03-03T09-56-49,17822,GEISINGER MEDICAL CENTER,02/28/2022 12:00:00 AM,,395,70,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,17822,GEISINGER MEDICAL CENTER,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,395,185,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,17822,GEISINGER MEDICAL CENTER,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,655,185,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,645,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,633,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,698,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,698,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,698,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,698,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,17822,GEISINGER MEDICAL CENTER,NLP,NLP,NLP,6898,03/28/2022 12:00:00 AM
