2022-02-18T16-04-21,19131,Abraham Reuven Lehman MD,02/16/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,19131,Abraham Reuven Lehman MD,02/23/2022 12:00:00 AM,,15,,
2022-03-03T10-04-44,19131,Abraham Reuven Lehman MD,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,19131,Abraham Reuven Lehman MD,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,,
2022-04-27T05-23-49,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-04-28T09-22-45,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,94,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,132,05/03/2022 12:00:00 AM
2022-05-04T05-12-02,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,132,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,129,05/05/2022 12:00:00 AM
2022-05-06T06-12-41,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,204,05/06/2022 12:00:00 AM
2022-05-07T05-45-31,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,204,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,204,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,19131,Abraham Reuven Lehman MD,NLP,NLP,NLP,204,05/06/2022 12:00:00 AM
