2022-02-18T16-04-21,19454,WELLNESS PHARMACY SERVICES,02/16/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,19454,WELLNESS PHARMACY SERVICES,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,19454,WELLNESS PHARMACY SERVICES,02/28/2022 12:00:00 AM,02/18/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,19454,WELLNESS PHARMACY SERVICES,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-04-01T06-54-45,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
2022-04-21T05-29-54,19454,WELLNESS PHARMACY SERVICES,NLP,NLP,NLP,20,04/13/2022 12:00:00 AM
