2022-02-18T16-04-21,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/17/2022 12:00:00 AM,,5,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/24/2022 12:00:00 AM,,20,5,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,20,20,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,25,20,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,21550,GARRETT COUNTY MEMORIAL HOSPTIAL,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
