2022-03-08T14-40-56,22042,INOVA FAIRFAX HOSPITAL,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,50,50,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,50,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,50,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,50,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,100,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,200,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,144,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,132,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,116,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,116,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,266,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,266,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,266,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,192,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,170,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,170,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,153,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,129,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,95,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,95,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,95,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,28,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,164,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,146,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,315,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,315,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,315,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,315,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,236,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,206,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,206,04/26/2022 12:00:00 AM
2022-04-29T05-13-54,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,206,04/26/2022 12:00:00 AM
2022-04-30T05-15-55,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,206,04/26/2022 12:00:00 AM
2022-05-01T05-13-51,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,329,05/01/2022 12:00:00 AM
2022-05-02T06-02-50,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,329,05/01/2022 12:00:00 AM
2022-05-03T06-05-23,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,321,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/03/2022 12:00:00 AM
2022-05-05T09-49-47,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/03/2022 12:00:00 AM
2022-05-06T06-12-41,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,214,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,333,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,333,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,333,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,232,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,197,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,162,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,125,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,275,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,275,05/13/2022 12:00:00 AM
2022-05-16T05-54-24,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,275,05/13/2022 12:00:00 AM
2022-05-17T05-27-38,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,142,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,101,05/17/2022 12:00:00 AM
2022-05-19T05-25-31,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,101,05/18/2022 12:00:00 AM
2022-05-20T05-59-40,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,101,05/18/2022 12:00:00 AM
2022-05-21T05-54-21,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-22T09-07-10,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
2022-05-23T07-42-39,22042,INOVA FAIRFAX HOSPITAL,NLP,NLP,NLP,289,05/20/2022 12:00:00 AM
