2022-03-08T14-40-56,24014,CARILION ROANOKE MEM HOSP,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,25,25,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,60,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/19/2022 12:00:00 AM
2022-03-21T14-18-38,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/19/2022 12:00:00 AM
2022-03-21T16-35-27,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/19/2022 12:00:00 AM
2022-03-22T09-16-18,24014,CARILION ROANOKE MEM HOSP,NLP,NLP,NLP,80,03/22/2022 12:00:00 AM
