2022-02-18T16-04-21,24924,POCAHONTAS MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,24924,POCAHONTAS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,,
2022-07-12T04-15-22,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/11/2022 12:00:00 AM
2022-07-13T04-15-22,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-14T04-15-29,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-15T04-15-46,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-17T04-15-18,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-18T04-15-21,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-18T07-55-19,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-19T04-15-25,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,1,07/12/2022 12:00:00 AM
2022-07-20T04-15-41,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,5,07/19/2022 12:00:00 AM
2022-07-21T04-15-40,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,3,07/20/2022 12:00:00 AM
2022-07-22T04-15-29,24924,POCAHONTAS MEMORIAL HOSPITAL,NLP,NLP,NLP,3,07/20/2022 12:00:00 AM
