2022-02-18T16-04-21,25601,LOGAN REGIONAL MED CTR,02/15/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,25601,LOGAN REGIONAL MED CTR,02/28/2022 12:00:00 AM,,45,,
2022-03-03T10-04-44,25601,LOGAN REGIONAL MED CTR,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,45,,
2022-03-08T14-40-56,25601,LOGAN REGIONAL MED CTR,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,60,,
2022-05-17T05-27-38,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-18T05-40-23,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-19T05-25-31,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-20T05-59-40,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-21T05-54-21,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-22T09-07-10,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-23T07-42-39,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-24T05-46-03,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
2022-05-25T05-39-27,25601,LOGAN REGIONAL MED CTR,NLP,NLP,NLP,21,05/16/2022 12:00:00 AM
