2022-02-18T16-04-21,26038,REYNOLDS MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26038,REYNOLDS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,25,10,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,26038,REYNOLDS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,10,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,26038,REYNOLDS MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,10,02/25/2022 12:00:00 AM
2022-03-29T08-50-48,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-30T09-27-07,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-31T08-53-07,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,10,02/25/2022 12:00:00 AM
2022-03-31T15-09-22,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-10T09-31-27,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-11T07-06-23,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-12T07-06-55,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-13T09-20-57,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-13T11-55-39,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-14T09-18-06,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-15T06-03-51,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,25,03/31/2022 12:00:00 AM
2022-04-16T05-33-42,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-20T05-27-37,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-21T05-29-54,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-22T05-26-18,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-23T05-25-10,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-24T05-22-24,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-25T05-22-33,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-26T05-20-54,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-27T05-23-49,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-28T09-22-45,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-29T05-13-54,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-04-30T05-15-55,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-01T05-13-51,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-02T06-02-50,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-03T06-05-23,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-04T05-12-02,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-05T09-49-47,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-06T06-12-41,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-07T05-45-31,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-08T10-02-59,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-09T05-08-14,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-10T06-06-54,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-11T06-51-12,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-12T07-16-49,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
2022-05-13T06-07-31,26038,REYNOLDS MEMORIAL HOSPITAL,NLP,NLP,NLP,29,04/15/2022 12:00:00 AM
