2022-02-18T16-04-21,26452,STONEWALL JACKSON MEMORIAL HOSP,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26452,STONEWALL JACKSON MEMORIAL HOSP,02/28/2022 12:00:00 AM,,30,8,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,26452,STONEWALL JACKSON MEMORIAL HOSP,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,15,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,26452,STONEWALL JACKSON MEMORIAL HOSP,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,30,15,03/01/2022 12:00:00 AM
2022-03-29T08-50-48,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-03-30T09-27-07,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-03-31T08-53-07,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-03-31T15-09-22,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-04-01T06-54-45,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-04-02T06-05-59,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-04-03T05-51-54,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
2022-04-04T05-38-24,26452,STONEWALL JACKSON MEMORIAL HOSP,NLP,NLP,NLP,15,03/01/2022 12:00:00 AM
