2022-02-18T16-04-21,26506,RUBY MEMORIAL HOSPITAL (WVU),02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26506,RUBY MEMORIAL HOSPITAL (WVU),02/28/2022 12:00:00 AM,,30,173,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,26506,RUBY MEMORIAL HOSPITAL (WVU),02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,173,02/25/2022 12:00:00 AM
2022-03-08T14-40-56,26506,RUBY MEMORIAL HOSPITAL (WVU),03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,173,02/25/2022 12:00:00 AM
2022-03-29T08-50-48,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-03-30T09-27-07,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-03-31T08-53-07,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-03-31T15-09-22,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-01T06-54-45,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-02T06-05-59,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-03T05-51-54,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-04T05-38-24,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-05T05-48-33,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-06T05-45-18,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-07T05-34-07,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-08T05-48-29,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-09T05-41-09,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-10T09-31-27,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-11T07-06-23,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-12T07-06-55,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-13T09-20-57,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-13T11-55-39,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-14T09-18-06,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-15T06-03-51,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-16T05-33-42,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-17T05-32-24,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-18T05-31-10,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-19T05-39-24,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-20T05-27-37,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-21T05-29-54,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-22T05-26-18,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-23T05-25-10,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-24T05-22-24,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-25T05-22-33,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-26T05-20-54,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-27T05-23-49,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-28T09-22-45,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-29T05-13-54,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-04-30T05-15-55,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-05-01T05-13-51,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
2022-05-02T06-02-50,26506,RUBY MEMORIAL HOSPITAL (WVU),NLP,NLP,NLP,173,02/25/2022 12:00:00 AM
