2022-02-18T16-04-21,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,35,,
2022-05-26T07-59-29,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-26T07-59-29,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-27T05-48-57,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-28T05-34-18,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-29T05-31-58,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-30T05-32-42,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-05-31T08-56-01,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-01T05-37-50,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-02T07-54-10,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-03T08-50-11,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-04T19-11-08,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-05T08-48-25,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-06T06-32-51,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,27,05/25/2022 12:00:00 AM
2022-06-07T05-36-41,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-08T05-42-02,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-09T04-15-20,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-10T04-15-36,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-11T04-15-14,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-12T04-15-15,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-13T04-15-40,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-14T04-15-16,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-15T04-15-27,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-16T04-15-45,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-17T04-15-27,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-18T04-15-18,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-19T04-15-29,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-20T04-15-58,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,24,06/06/2022 12:00:00 AM
2022-06-22T04-15-20,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-23T04-15-16,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-24T04-15-26,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-25T04-15-18,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-26T04-15-17,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-27T04-15-31,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-28T04-15-44,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,16,06/21/2022 12:00:00 AM
2022-06-29T04-15-40,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
2022-06-30T04-15-32,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
2022-07-01T04-15-22,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
2022-07-03T14-40-38,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
2022-07-04T04-15-29,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
2022-07-05T04-15-18,26537,PRESTON MEMORIAL HOSPITAL (MON HLTH,NLP,NLP,NLP,13,06/28/2022 12:00:00 AM
