2022-02-18T16-04-21,26847,GRANT MEMORIAL HOSPITAL,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,26847,GRANT MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,26847,GRANT MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,02/24/2022 12:00:00 AM,25,,
2022-03-08T14-40-56,26847,GRANT MEMORIAL HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,25,,
2022-05-21T05-54-21,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-22T09-07-10,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-23T07-42-39,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-24T05-46-03,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-25T05-39-27,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-26T07-59-29,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-27T05-48-57,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-28T05-34-18,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-29T05-31-58,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-30T05-32-42,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-05-31T08-56-01,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,19,05/19/2022 12:00:00 AM
2022-06-01T05-37-50,26847,GRANT MEMORIAL HOSPITAL,NLP,NLP,NLP,12,05/31/2022 12:00:00 AM
