2022-03-03T09-56-49,27401,Moses Cone Memorial Hospital,02/23/2022 12:00:00 AM,,50,,
2022-03-03T10-04-44,27401,Moses Cone Memorial Hospital,03/01/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,,
2022-03-08T14-40-56,27401,Moses Cone Memorial Hospital,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,100,,
2022-04-07T05-34-07,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-15T06-03-51,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-16T05-33-42,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-17T05-32-24,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-18T05-31-10,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-19T05-39-24,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,98,04/06/2022 12:00:00 AM
2022-04-20T05-27-37,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,81,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,81,04/19/2022 12:00:00 AM
2022-04-22T05-26-18,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
2022-04-27T05-23-49,27401,Moses Cone Memorial Hospital,NLP,NLP,NLP,69,04/21/2022 12:00:00 AM
