2022-03-03T09-56-49,28546,STARMED HEALTHCARE - JACKSONVILLE,02/23/2022 12:00:00 AM,,90,,
2022-03-03T10-04-44,28546,STARMED HEALTHCARE - JACKSONVILLE,03/02/2022 12:00:00 AM,02/25/2022 12:00:00 AM,390,,
2022-03-08T14-40-56,28546,STARMED HEALTHCARE - JACKSONVILLE,03/02/2022 12:00:00 AM,03/04/2022 12:00:00 AM,390,,
2022-03-26T06-57-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-04-04T05-38-24,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,328,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-07T05-34-07,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-08T05-48-29,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-09T05-41-09,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-10T09-31-27,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-11T07-06-23,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-12T07-06-55,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-13T09-20-57,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,253,04/04/2022 12:00:00 AM
2022-04-13T11-55-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-21T05-29-54,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-22T05-26-18,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-23T05-25-10,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-24T05-22-24,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-25T05-22-33,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-26T05-20-54,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-27T05-23-49,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,155,04/13/2022 12:00:00 AM
2022-04-28T09-22-45,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-04-30T05-15-55,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-01T05-13-51,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-02T06-02-50,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-03T06-05-23,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-04T05-12-02,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-05T09-49-47,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-06T06-12-41,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-07T05-45-31,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-08T10-02-59,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-09T05-08-14,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-10T06-06-54,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-11T06-51-12,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-12T07-16-49,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-13T06-07-31,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-14T08-49-14,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-15T05-54-13,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-16T05-54-24,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-17T05-27-38,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-18T05-40-23,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-19T05-25-31,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-20T05-59-40,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-21T05-54-21,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-22T09-07-10,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
2022-05-23T07-42-39,28546,STARMED HEALTHCARE - JACKSONVILLE,NLP,NLP,NLP,144,04/27/2022 12:00:00 AM
