2022-02-18T16-04-21,28722,SAINT LUKES HOSPITAL,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,28722,SAINT LUKES HOSPITAL,02/23/2022 12:00:00 AM,,40,20,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,28722,SAINT LUKES HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,20,02/24/2022 12:00:00 AM
2022-03-08T14-40-56,28722,SAINT LUKES HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,43,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-03-29T08-50-48,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-03-30T09-27-07,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-03-31T08-53-07,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-03-31T15-09-22,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-04-01T06-54-45,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-04-02T06-05-59,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-04-03T05-51-54,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,43,03/08/2022 12:00:00 AM
2022-04-04T05-38-24,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-06T05-45-18,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-07T05-34-07,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-08T05-48-29,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-09T05-41-09,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-10T09-31-27,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,40,04/03/2022 12:00:00 AM
2022-04-11T07-06-23,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,56,04/10/2022 12:00:00 AM
2022-04-12T07-06-55,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,56,04/10/2022 12:00:00 AM
2022-04-13T09-20-57,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,56,04/10/2022 12:00:00 AM
2022-04-13T11-55-39,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,56,04/10/2022 12:00:00 AM
2022-04-14T09-18-06,28722,SAINT LUKES HOSPITAL,NLP,NLP,NLP,56,04/10/2022 12:00:00 AM
