2022-02-18T16-04-21,28803,MAHEC FAM HLTH CTR @ BILTMORE,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,28803,MAHEC FAM HLTH CTR @ BILTMORE,02/23/2022 12:00:00 AM,,40,40,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,28803,MAHEC FAM HLTH CTR @ BILTMORE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,40,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,28803,MAHEC FAM HLTH CTR @ BILTMORE,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,40,38,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,43,03/11/2022 12:00:00 AM
2022-03-18T11-17-38,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,38,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,36,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,36,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-26T12-42-50,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-27T06-25-27,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-28T06-21-17,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/24/2022 12:00:00 AM
2022-03-29T08-50-48,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,31,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,29,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,29,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,28,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,28,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,28,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,25,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,24,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,23,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,23,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,19,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,28803,MAHEC FAM HLTH CTR @ BILTMORE,NLP,NLP,NLP,19,04/11/2022 12:00:00 AM
