2022-03-08T14-40-56,34135,Old Bonita Spring Library,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,310,,
2022-03-16T18-51-35,34135,Old Bonita Spring Library,NLP,NLP,NLP,310,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,34135,Old Bonita Spring Library,NLP,NLP,NLP,310,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,34135,Old Bonita Spring Library,NLP,NLP,NLP,310,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/20/2022 12:00:00 AM
2022-03-21T06-11-50,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,34135,Old Bonita Spring Library,NLP,NLP,NLP,610,03/25/2022 12:00:00 AM
