2022-03-03T10-04-44,34771,"HCTB, INC.",02/25/2022 12:00:00 AM,,50,50,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,34771,"HCTB, INC.",03/03/2022 12:00:00 AM,03/07/2022 12:00:00 AM,75,50,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,34771,"HCTB, INC.",NLP,NLP,NLP,50,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,34771,"HCTB, INC.",NLP,NLP,NLP,43,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,34771,"HCTB, INC.",NLP,NLP,NLP,43,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,34771,"HCTB, INC.",NLP,NLP,NLP,43,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-20T05-27-37,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-21T05-29-54,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-22T05-26-18,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-23T05-25-10,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-24T05-22-24,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-25T05-22-33,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-26T05-20-54,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-27T05-23-49,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-28T09-22-45,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-29T05-13-54,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-04-30T05-15-55,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-01T05-13-51,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-02T06-02-50,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-03T06-05-23,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-04T05-12-02,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-05T09-49-47,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-06T06-12-41,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-07T05-45-31,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-08T10-02-59,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-09T05-08-14,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-10T06-06-54,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-11T06-51-12,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-12T07-16-49,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-13T06-07-31,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-14T08-49-14,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-15T05-54-13,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-16T05-54-24,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-17T05-27-38,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-18T05-40-23,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-19T05-25-31,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-20T05-59-40,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-21T05-54-21,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-22T09-07-10,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
2022-05-23T07-42-39,34771,"HCTB, INC.",NLP,NLP,NLP,87,04/13/2022 12:00:00 AM
