2022-02-18T16-04-21,35019,BAILEYTON FAMILY MEDICINE,02/15/2022 12:00:00 AM,,5,,
2022-03-08T14-40-56,35019,BAILEYTON FAMILY MEDICINE,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,50,10,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,20,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-21T16-35-27,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-22T09-16-18,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-23T08-41-43,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-24T07-49-11,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-24T13-46-29,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-28T06-21-17,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,50,03/17/2022 12:00:00 AM
2022-03-29T08-50-48,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/29/2022 12:00:00 AM
2022-03-31T15-09-22,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/29/2022 12:00:00 AM
2022-04-01T06-54-45,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-03T05-51-54,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-04T05-38-24,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-05T05-48-33,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-06T05-45-18,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-07T05-34-07,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-08T05-48-29,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
2022-04-09T05-41-09,35019,BAILEYTON FAMILY MEDICINE,NLP,NLP,NLP,95,03/31/2022 12:00:00 AM
