2022-03-03T09-56-49,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,02/21/2022 12:00:00 AM,,5,,
2022-03-03T10-04-44,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,,
2022-03-08T14-40-56,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,03/01/2022 12:00:00 AM,03/03/2022 12:00:00 AM,15,,
2022-05-03T06-05-23,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/02/2022 12:00:00 AM
2022-05-06T06-12-41,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-08T10-02-59,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-09T05-08-14,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/05/2022 12:00:00 AM
2022-05-10T06-06-54,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,11,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,9,05/10/2022 12:00:00 AM
2022-05-12T07-16-49,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
2022-05-15T05-54-13,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
2022-05-16T05-54-24,35570,NORTH MISSISSIPPI MEDICAL CENTERHA,NLP,NLP,NLP,14,05/12/2022 12:00:00 AM
