2022-02-18T16-04-21,35802,SYNERGY WELLNESS,02/15/2022 12:00:00 AM,,10,9,02/17/2022 12:00:00 AM
2022-03-08T14-40-56,35802,SYNERGY WELLNESS,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,65,26,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,35802,SYNERGY WELLNESS,NLP,NLP,NLP,43,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,35802,SYNERGY WELLNESS,NLP,NLP,NLP,43,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,35802,SYNERGY WELLNESS,NLP,NLP,NLP,42,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,35802,SYNERGY WELLNESS,NLP,NLP,NLP,42,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,35802,SYNERGY WELLNESS,NLP,NLP,NLP,42,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,35802,SYNERGY WELLNESS,NLP,NLP,NLP,42,03/19/2022 12:00:00 AM
2022-03-20T06-05-37,35802,SYNERGY WELLNESS,NLP,NLP,NLP,35,03/19/2022 12:00:00 AM
2022-03-21T06-11-50,35802,SYNERGY WELLNESS,NLP,NLP,NLP,32,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,35802,SYNERGY WELLNESS,NLP,NLP,NLP,32,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,35802,SYNERGY WELLNESS,NLP,NLP,NLP,32,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,35802,SYNERGY WELLNESS,NLP,NLP,NLP,31,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,35802,SYNERGY WELLNESS,NLP,NLP,NLP,34,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,35802,SYNERGY WELLNESS,NLP,NLP,NLP,34,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,35802,SYNERGY WELLNESS,NLP,NLP,NLP,48,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/26/2022 12:00:00 AM
2022-03-26T12-42-50,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/26/2022 12:00:00 AM
2022-03-27T06-25-27,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/26/2022 12:00:00 AM
2022-03-28T06-21-17,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/28/2022 12:00:00 AM
2022-03-29T08-50-48,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/29/2022 12:00:00 AM
2022-03-30T09-27-07,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/31/2022 12:00:00 AM
2022-03-31T15-09-22,35802,SYNERGY WELLNESS,NLP,NLP,NLP,47,03/31/2022 12:00:00 AM
2022-04-01T06-54-45,35802,SYNERGY WELLNESS,NLP,NLP,NLP,58,04/01/2022 12:00:00 AM
2022-04-02T06-05-59,35802,SYNERGY WELLNESS,NLP,NLP,NLP,58,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,35802,SYNERGY WELLNESS,NLP,NLP,NLP,81,04/02/2022 12:00:00 AM
2022-04-04T05-38-24,35802,SYNERGY WELLNESS,NLP,NLP,NLP,81,04/03/2022 12:00:00 AM
2022-04-05T05-48-33,35802,SYNERGY WELLNESS,NLP,NLP,NLP,79,04/05/2022 12:00:00 AM
2022-04-06T05-45-18,35802,SYNERGY WELLNESS,NLP,NLP,NLP,78,04/06/2022 12:00:00 AM
2022-04-07T05-34-07,35802,SYNERGY WELLNESS,NLP,NLP,NLP,78,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,35802,SYNERGY WELLNESS,NLP,NLP,NLP,100,04/08/2022 12:00:00 AM
2022-04-09T05-41-09,35802,SYNERGY WELLNESS,NLP,NLP,NLP,98,04/09/2022 12:00:00 AM
