2022-02-18T16-04-21,35976,LAKESIDE NORTH FAMILY MEDICINE,02/15/2022 12:00:00 AM,,10,,
2022-02-18T16-04-21,35976,MARSHALL MEDICAL CENTER NORTH,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,35976,MARSHALL MEDICAL CENTER NORTH,02/21/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,35976,LAKESIDE NORTH FAMILY MEDICINE,02/24/2022 12:00:00 AM,,30,,
2022-03-03T10-04-44,35976,LAKESIDE NORTH FAMILY MEDICINE,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-03T10-04-44,35976,MARSHALL MEDICAL CENTER NORTH,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,35976,LAKESIDE NORTH FAMILY MEDICINE,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,30,,
2022-03-08T14-40-56,35976,MARSHALL MEDICAL CENTER NORTH,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,30,,
2022-03-16T18-51-35,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,14,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T07-49-11,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,11,03/16/2022 12:00:00 AM
2022-03-24T13-46-29,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-30T09-27-07,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-31T08-53-07,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-03-31T15-09-22,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-01T06-54-45,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-02T06-05-59,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-03T05-51-54,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-04T05-38-24,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-05T05-48-33,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-06T05-45-18,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-07T05-34-07,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,8,03/23/2022 12:00:00 AM
2022-04-08T05-48-29,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-10T09-31-27,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-11T07-06-23,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-12T07-06-55,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-13T09-20-57,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-13T11-55-39,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-14T09-18-06,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-15T06-03-51,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
2022-04-16T05-33-42,35976,LAKESIDE NORTH FAMILY MEDICINE,NLP,NLP,NLP,6,04/07/2022 12:00:00 AM
