2022-02-18T16-04-21,36801,EAST ALABAMA MEDICAL CENTER,02/15/2022 12:00:00 AM,,10,,
2022-03-03T09-56-49,36801,EAST ALABAMA MEDICAL CENTER,02/21/2022 12:00:00 AM,,25,,
2022-03-03T10-04-44,36801,EAST ALABAMA MEDICAL CENTER,03/01/2022 12:00:00 AM,02/23/2022 12:00:00 AM,35,,
2022-03-08T14-40-56,36801,EAST ALABAMA MEDICAL CENTER,03/07/2022 12:00:00 AM,03/03/2022 12:00:00 AM,40,,
2022-03-18T11-17-38,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,36801,EAST ALABAMA MEDICAL CENTER,NLP,NLP,NLP,45,03/24/2022 12:00:00 AM
