2022-02-18T16-04-21,43205,NCH MAIN CAMPUS,02/16/2022 12:00:00 AM,,15,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,43205,NCH MAIN CAMPUS,02/23/2022 12:00:00 AM,,25,15,02/25/2022 12:00:00 AM
2022-03-03T10-04-44,43205,NCH MAIN CAMPUS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,43205,NCH MAIN CAMPUS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,25,25,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-25T08-10-53,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-26T06-57-27,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-26T12-42-50,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-27T06-25-27,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-28T06-21-17,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/22/2022 12:00:00 AM
2022-03-29T08-50-48,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,43205,NCH MAIN CAMPUS,NLP,NLP,NLP,25,03/28/2022 12:00:00 AM
