2022-02-18T16-04-21,43210,OSU - OSU WEXNER MEDICAL CTR,02/16/2022 12:00:00 AM,,50,,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,43210,OSU - OSU WEXNER MEDICAL CTR,02/23/2022 12:00:00 AM,,350,50,02/23/2022 12:00:00 AM
2022-03-03T10-04-44,43210,OSU - OSU WEXNER MEDICAL CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,350,50,02/23/2022 12:00:00 AM
2022-03-08T14-40-56,43210,OSU - OSU WEXNER MEDICAL CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,350,350,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,350,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,350,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,350,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,339,03/18/2022 12:00:00 AM
2022-03-23T08-41-43,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,326,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,326,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,316,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,316,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,315,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,315,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,315,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,315,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,621,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,621,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,621,03/28/2022 12:00:00 AM
2022-03-31T15-09-22,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,621,03/28/2022 12:00:00 AM
2022-04-01T06-54-45,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,621,03/28/2022 12:00:00 AM
2022-04-02T06-05-59,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,612,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,612,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,612,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,836,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,836,04/05/2022 12:00:00 AM
2022-04-07T05-34-07,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,829,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,826,04/07/2022 12:00:00 AM
2022-04-09T05-41-09,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,821,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,821,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,821,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,812,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,806,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,806,04/12/2022 12:00:00 AM
2022-04-14T09-18-06,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,800,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,793,04/14/2022 12:00:00 AM
2022-04-16T05-33-42,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,789,04/15/2022 12:00:00 AM
2022-04-17T05-32-24,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,789,04/15/2022 12:00:00 AM
2022-04-18T05-31-10,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,789,04/15/2022 12:00:00 AM
2022-04-19T05-39-24,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1047,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1037,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1029,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1021,04/21/2022 12:00:00 AM
2022-04-23T05-25-10,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1021,04/21/2022 12:00:00 AM
2022-04-24T05-22-24,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1021,04/21/2022 12:00:00 AM
2022-04-25T05-22-33,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,1021,04/21/2022 12:00:00 AM
2022-04-26T05-20-54,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,986,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,43210,OSU - OSU WEXNER MEDICAL CTR,NLP,NLP,NLP,973,04/26/2022 12:00:00 AM
