2022-02-18T16-04-21,45409,MIAMI VALLEY HOSPITAL,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,45409,MIAMI VALLEY HOSPITAL,02/23/2022 12:00:00 AM,,100,50,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,45409,MIAMI VALLEY HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,100,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,45409,MIAMI VALLEY HOSPITAL,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,100,100,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/08/2022 12:00:00 AM
2022-03-18T09-58-11,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-18T15-22-50,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T08-15-59,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-19T11-58-02,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-20T06-05-37,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T06-11-50,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T14-18-38,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-21T16-35-27,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-22T09-16-18,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,100,03/15/2022 12:00:00 AM
2022-03-24T13-46-29,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,99,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,99,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,99,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,45409,MIAMI VALLEY HOSPITAL,NLP,NLP,NLP,99,03/23/2022 12:00:00 AM
