2022-03-08T14-40-56,48126,Metro Detroit Endocrinology Center,03/04/2022 12:00:00 AM,,25,,
2022-03-16T18-51-35,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/09/2022 12:00:00 AM
2022-03-18T11-17-38,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-19T11-58-02,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-20T06-05-37,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T06-11-50,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
2022-03-21T14-18-38,48126,Metro Detroit Endocrinology Center,NLP,NLP,NLP,25,03/17/2022 12:00:00 AM
