2022-02-18T16-04-21,48150,FIRST CHOICE URGENT CARE OF LIVONIA,02/17/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,48150,FIRST CHOICE URGENT CARE OF LIVONIA,02/25/2022 12:00:00 AM,,70,,
2022-03-03T09-56-49,48150,Omnicare of Southern Michigan,02/25/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,48150,PS of MI,02/25/2022 12:00:00 AM,,60,,
2022-03-03T10-04-44,48150,PS of MI,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-03T10-04-44,48150,FIRST CHOICE URGENT CARE OF LIVONIA,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,70,,
2022-03-03T10-04-44,48150,Omnicare of Southern Michigan,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,5,,
2022-03-08T14-40-56,48150,PS of MI,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,48150,FIRST CHOICE URGENT CARE OF LIVONIA,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,100,,
2022-03-08T14-40-56,48150,Omnicare of Southern Michigan,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,5,,
2022-03-23T08-41-43,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/29/2022 12:00:00 AM
2022-03-31T08-53-07,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,03/31/2022 12:00:00 AM
2022-04-02T06-05-59,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,04/04/2022 12:00:00 AM
2022-04-06T05-45-18,48150,Pharmscript HoldcoandSubsidiaries,NLP,NLP,NLP,60,04/05/2022 12:00:00 AM
