2022-02-18T16-04-21,48471,MCKENZIE MEMORIAL HOSPITAL,02/17/2022 12:00:00 AM,,5,0,02/16/2022 12:00:00 AM
2022-04-05T05-48-33,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-06T05-45-18,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-07T05-34-07,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-08T05-48-29,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-09T05-41-09,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-10T09-31-27,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-11T07-06-23,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-12T07-06-55,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-13T09-20-57,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-13T11-55-39,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-14T09-18-06,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-15T06-03-51,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-16T05-33-42,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
2022-04-17T05-32-24,48471,MCKENZIE MEMORIAL HOSPITAL,NLP,NLP,NLP,0,02/16/2022 12:00:00 AM
