2022-02-18T16-04-21,49221,PROMEDICA HICKMAN HOSPITAL,02/17/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,49221,PROMEDICA HICKMAN HOSPITAL,02/25/2022 12:00:00 AM,,15,5,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,49221,PROMEDICA HICKMAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,15,03/01/2022 12:00:00 AM
2022-03-08T14-40-56,49221,PROMEDICA HICKMAN HOSPITAL,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,15,15,03/01/2022 12:00:00 AM
2022-03-18T09-58-11,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-28T06-21-17,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-29T08-50-48,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-30T09-27-07,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-31T08-53-07,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-31T15-09-22,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-04-01T06-54-45,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-04-02T06-05-59,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-03T05-51-54,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-04T05-38-24,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-05T05-48-33,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-06T05-45-18,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-07T05-34-07,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
2022-04-08T05-48-29,49221,PROMEDICA HICKMAN HOSPITAL,NLP,NLP,NLP,45,04/01/2022 12:00:00 AM
