2022-02-18T16-04-21,49423,HOLLAND HOSPITAL,02/17/2022 12:00:00 AM,,5,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,49423,HOLLAND HOSPITAL,02/25/2022 12:00:00 AM,,25,5,02/28/2022 12:00:00 AM
2022-03-08T14-40-56,49423,HOLLAND HOSPITAL,03/04/2022 12:00:00 AM,03/08/2022 12:00:00 AM,45,25,03/03/2022 12:00:00 AM
2022-03-18T09-58-11,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,45,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,49423,HOLLAND HOSPITAL,NLP,NLP,NLP,70,03/21/2022 12:00:00 AM
