2022-03-08T14-40-56,50213,CLARKE COUNTY HOSPITAL,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,10,,
2022-03-21T16-35-27,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-30T09-27-07,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-31T08-53-07,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-03-31T15-09-22,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-01T06-54-45,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-02T06-05-59,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-03T05-51-54,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-04T05-38-24,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-05T05-48-33,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-06T05-45-18,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,03/25/2022 12:00:00 AM
2022-04-07T05-34-07,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-09T05-41-09,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-10T09-31-27,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-11T07-06-23,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-12T07-06-55,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-13T09-20-57,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-13T11-55-39,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-14T09-18-06,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-16T05-33-42,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-17T05-32-24,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-18T05-31-10,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,16,04/13/2022 12:00:00 AM
2022-04-19T05-39-24,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-21T05-29-54,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
2022-04-22T05-26-18,50213,CLARKE COUNTY HOSPITAL,NLP,NLP,NLP,10,04/18/2022 12:00:00 AM
