2022-02-18T16-04-21,50703,Allen Memorial Hospital,02/16/2022 12:00:00 AM,,50,,
2022-03-03T09-56-49,50703,Allen Memorial Hospital,02/24/2022 12:00:00 AM,,60,,
2022-03-03T10-04-44,50703,Allen Memorial Hospital,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,,
2022-03-08T14-40-56,50703,Allen Memorial Hospital,02/24/2022 12:00:00 AM,03/01/2022 12:00:00 AM,60,60,03/04/2022 12:00:00 AM
2022-03-16T18-51-35,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-18T15-22-50,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-19T08-15-59,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-19T11-58-02,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-20T06-05-37,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-21T06-11-50,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-21T14-18-38,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/14/2022 12:00:00 AM
2022-03-21T16-35-27,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-25T08-10-53,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-26T06-57-27,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-26T12-42-50,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-27T06-25-27,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-28T06-21-17,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/21/2022 12:00:00 AM
2022-03-29T08-50-48,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-03-31T15-09-22,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-01T06-54-45,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-02T06-05-59,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-03T05-51-54,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-04T05-38-24,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-05T05-48-33,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
2022-04-06T05-45-18,50703,Allen Memorial Hospital,NLP,NLP,NLP,60,03/30/2022 12:00:00 AM
