2022-02-18T16-04-21,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,02/16/2022 12:00:00 AM,,15,0,02/15/2022 12:00:00 AM
2022-03-03T09-56-49,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,02/22/2022 12:00:00 AM,,30,30,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,02/22/2022 12:00:00 AM,02/24/2022 12:00:00 AM,30,30,03/02/2022 12:00:00 AM
2022-03-29T08-50-48,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-03-30T09-27-07,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-03-31T08-53-07,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-03-31T15-09-22,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-01T06-54-45,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-02T06-05-59,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-03T05-51-54,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-04T05-38-24,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-05T05-48-33,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-06T05-45-18,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-07T05-34-07,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-08T05-48-29,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-09T05-41-09,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-10T09-31-27,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-11T07-06-23,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
2022-04-12T07-06-55,53901,ASPIRUS DIVINE SAVIOR HOSPITAL,NLP,NLP,NLP,30,03/02/2022 12:00:00 AM
