2022-02-18T16-04-21,53948,MILE BLUFF MEDICAL CENTER,02/17/2022 12:00:00 AM,,10,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,53948,MILE BLUFF MEDICAL CENTER,02/21/2022 12:00:00 AM,,20,18,02/27/2022 12:00:00 AM
2022-03-03T10-04-44,53948,MILE BLUFF MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,18,02/27/2022 12:00:00 AM
2022-03-08T14-40-56,53948,MILE BLUFF MEDICAL CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,18,02/27/2022 12:00:00 AM
2022-03-21T06-11-50,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-21T14-18-38,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-21T16-35-27,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-22T09-16-18,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-23T08-41-43,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-24T07-49-11,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-24T13-46-29,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-25T08-10-53,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-26T06-57-27,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-26T12-42-50,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-27T06-25-27,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-28T06-21-17,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-29T08-50-48,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-30T09-27-07,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-31T08-53-07,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-03-31T15-09-22,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-01T06-54-45,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-02T06-05-59,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-03T05-51-54,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-04T05-38-24,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-05T05-48-33,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-06T05-45-18,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-07T05-34-07,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-08T05-48-29,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-09T05-41-09,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-10T09-31-27,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-11T07-06-23,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-12T07-06-55,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-13T09-20-57,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-13T11-55-39,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-14T09-18-06,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-15T06-03-51,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
2022-04-16T05-33-42,53948,MILE BLUFF MEDICAL CENTER,NLP,NLP,NLP,18,03/20/2022 12:00:00 AM
