2022-03-08T14-40-56,54140,SMITH PHARMACY,02/25/2022 12:00:00 AM,03/01/2022 12:00:00 AM,5,3,03/03/2022 12:00:00 AM
2022-03-16T18-51-35,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T09-58-11,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-18T11-03-37,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-29T08-50-48,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-30T09-27-07,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-31T08-53-07,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-03-31T15-09-22,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-01T06-54-45,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-02T06-05-59,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-03T05-51-54,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-04T05-38-24,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-05T05-48-33,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-06T05-45-18,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-07T05-34-07,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-08T05-48-29,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-09T05-41-09,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-10T09-31-27,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-11T07-06-23,54140,SMITH PHARMACY,NLP,NLP,NLP,1,03/09/2022 12:00:00 AM
2022-04-12T07-06-55,54140,SMITH PHARMACY,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,54140,SMITH PHARMACY,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-13T11-55-39,54140,SMITH PHARMACY,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-14T09-18-06,54140,SMITH PHARMACY,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
2022-04-15T06-03-51,54140,SMITH PHARMACY,NLP,NLP,NLP,1,04/11/2022 12:00:00 AM
