2022-02-18T16-04-21,54568,HOWARD YOUNG MEDICAL CENTER,02/16/2022 12:00:00 AM,,5,0,02/15/2022 12:00:00 AM
2022-04-05T05-48-33,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-06T05-45-18,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-07T05-34-07,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-08T05-48-29,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-09T05-41-09,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-10T09-31-27,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-11T07-06-23,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-12T07-06-55,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T09-20-57,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-13T11-55-39,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-14T09-18-06,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-15T06-03-51,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-16T05-33-42,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-04-17T05-32-24,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-12T04-15-22,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-13T04-15-22,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-14T04-15-29,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-15T04-15-46,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-17T04-15-18,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-18T04-15-21,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-18T07-55-19,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-19T04-15-25,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-20T04-15-41,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-21T04-15-40,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-22T04-15-29,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-23T04-15-20,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
2022-07-24T04-15-21,54568,HOWARD YOUNG MEDICAL CENTER,NLP,NLP,NLP,0,02/15/2022 12:00:00 AM
