2022-02-18T16-04-21,54703,MCHS EAU CLAIRE HOSPITAL,02/16/2022 12:00:00 AM,,35,,
2022-03-03T09-56-49,54703,MCHS EAU CLAIRE HOSPITAL,02/28/2022 12:00:00 AM,,235,,
2022-03-03T10-04-44,54703,MCHS EAU CLAIRE HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,235,,
2022-03-08T14-40-56,54703,MCHS EAU CLAIRE HOSPITAL,03/07/2022 12:00:00 AM,03/02/2022 12:00:00 AM,435,435,03/03/2022 12:00:00 AM
2022-03-18T11-17-38,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1232,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1227,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1227,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,54703,MCHS EAU CLAIRE HOSPITAL,NLP,NLP,NLP,1211,03/25/2022 12:00:00 AM
