2022-02-18T16-04-21,54868,MARSHFIELD - RICE LAKE CENTER,02/16/2022 12:00:00 AM,,20,,
2022-03-03T09-56-49,54868,MARSHFIELD - RICE LAKE CENTER,02/21/2022 12:00:00 AM,,35,35,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,54868,MARSHFIELD - RICE LAKE CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,35,35,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,54868,MARSHFIELD - RICE LAKE CENTER,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,35,35,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,54868,MARSHFIELD - RICE LAKE CENTER,NLP,NLP,NLP,35,03/18/2022 12:00:00 AM
