2022-02-18T16-04-21,55404,CHILDRENS MN-MINNEAPOLIS,02/18/2022 12:00:00 AM,,10,0,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,55404,CHILDRENS MN-MINNEAPOLIS,02/23/2022 12:00:00 AM,,15,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,55404,CHILDRENS MN-MINNEAPOLIS,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,55404,CHILDRENS MN-MINNEAPOLIS,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,20,20,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-24T07-49-11,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/21/2022 12:00:00 AM
2022-03-24T13-46-29,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-25T08-10-53,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T06-57-27,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-26T12-42-50,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-27T06-25-27,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-28T06-21-17,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/23/2022 12:00:00 AM
2022-03-29T08-50-48,55404,CHILDRENS MN-MINNEAPOLIS,NLP,NLP,NLP,20,03/28/2022 12:00:00 AM
