2022-02-18T16-04-21,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/18/2022 12:00:00 AM,,30,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/23/2022 12:00:00 AM,,80,80,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,80,80,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,03/03/2022 12:00:00 AM,03/04/2022 12:00:00 AM,125,125,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,56401,ESSENTIA HEALTH- ST JOSEPHS MED CTR,NLP,NLP,NLP,125,03/24/2022 12:00:00 AM
