2022-02-18T16-04-21,56501,ESSENTIA HEALTH DETROIT LAKES,02/18/2022 12:00:00 AM,,20,0,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,56501,ESSENTIA HEALTH DETROIT LAKES,02/23/2022 12:00:00 AM,,70,70,03/01/2022 12:00:00 AM
2022-03-03T10-04-44,56501,ESSENTIA HEALTH DETROIT LAKES,02/23/2022 12:00:00 AM,02/25/2022 12:00:00 AM,70,70,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,56501,ESSENTIA HEALTH DETROIT LAKES,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,115,70,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/15/2022 12:00:00 AM
2022-03-18T11-03-37,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/15/2022 12:00:00 AM
2022-03-18T11-17-38,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/21/2022 12:00:00 AM
2022-03-22T09-16-18,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/22/2022 12:00:00 AM
2022-03-24T13-46-29,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/24/2022 12:00:00 AM
2022-03-25T08-10-53,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/24/2022 12:00:00 AM
2022-03-26T06-57-27,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/25/2022 12:00:00 AM
2022-03-26T12-42-50,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/25/2022 12:00:00 AM
2022-03-27T06-25-27,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/25/2022 12:00:00 AM
2022-03-28T06-21-17,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/25/2022 12:00:00 AM
2022-03-29T08-50-48,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/28/2022 12:00:00 AM
2022-03-30T09-27-07,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/28/2022 12:00:00 AM
2022-03-31T08-53-07,56501,ESSENTIA HEALTH DETROIT LAKES,NLP,NLP,NLP,115,03/30/2022 12:00:00 AM
