2022-03-08T14-40-56,60435,BASINGERS PHARMACY,03/03/2022 12:00:00 AM,03/08/2022 12:00:00 AM,250,,
2022-04-07T05-34-07,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/06/2022 12:00:00 AM
2022-04-08T05-48-29,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/07/2022 12:00:00 AM
2022-04-08T05-48-29,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-09T05-41-09,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-10T09-31-27,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-10T09-31-27,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-11T07-06-23,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-11T07-06-23,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/08/2022 12:00:00 AM
2022-04-12T07-06-55,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-12T07-06-55,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/11/2022 12:00:00 AM
2022-04-13T09-20-57,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-13T09-20-57,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,10,04/12/2022 12:00:00 AM
2022-04-13T11-55-39,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-13T11-55-39,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,9,04/13/2022 12:00:00 AM
2022-04-14T09-18-06,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-14T09-18-06,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,9,04/13/2022 12:00:00 AM
2022-04-15T06-03-51,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-15T06-03-51,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-16T05-33-42,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,9,04/14/2022 12:00:00 AM
2022-04-17T05-32-24,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-18T05-31-10,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,19,04/17/2022 12:00:00 AM
2022-04-19T05-39-24,60435,AMITA ST. JOSEPH MEDICAL CENTER,NLP,NLP,NLP,19,04/19/2022 12:00:00 AM
2022-04-19T05-39-24,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
2022-04-20T05-27-37,60435,E MEDIATE CURE QUICK CARE,NLP,NLP,NLP,0,02/23/2022 12:00:00 AM
