2022-03-08T14-40-56,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,02/23/2022 12:00:00 AM,03/01/2022 12:00:00 AM,5,5,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,62363,ILLINI COMMUNITY HOSPITAL PHARMACY,NLP,NLP,NLP,5,03/18/2022 12:00:00 AM
