2022-02-18T16-04-21,66749,ALLEN COUNTY HOSPITAL,02/14/2022 12:00:00 AM,,5,5,02/17/2022 12:00:00 AM
2022-03-03T09-56-49,66749,ALLEN COUNTY HOSPITAL,02/21/2022 12:00:00 AM,,15,15,02/24/2022 12:00:00 AM
2022-03-03T10-04-44,66749,ALLEN COUNTY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,66749,ALLEN COUNTY HOSPITAL,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-16T18-51-35,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/10/2022 12:00:00 AM
2022-03-18T09-58-11,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T15-22-50,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T08-15-59,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-19T11-58-02,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-20T06-05-37,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T06-11-50,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T14-18-38,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-21T16-35-27,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-22T09-16-18,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-23T08-41-43,66749,ALLEN COUNTY HOSPITAL,NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
