2022-02-18T16-04-21,67502,Hutchinson Regional Medical Center,02/14/2022 12:00:00 AM,,5,5,02/18/2022 12:00:00 AM
2022-03-03T09-56-49,67502,Hutchinson Regional Medical Center,02/21/2022 12:00:00 AM,,15,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,67502,Hutchinson Regional Medical Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,67502,Hutchinson Regional Medical Center,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/08/2022 12:00:00 AM
2022-03-16T18-51-35,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/11/2022 12:00:00 AM
2022-03-18T09-58-11,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-03-37,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/14/2022 12:00:00 AM
2022-03-18T11-17-38,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-18T15-22-50,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/17/2022 12:00:00 AM
2022-03-19T08-15-59,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-20T06-05-37,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T06-11-50,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T14-18-38,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-21T16-35-27,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-22T09-16-18,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/21/2022 12:00:00 AM
2022-03-23T08-41-43,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
2022-03-24T07-49-11,67502,Hutchinson Regional Medical Center,NLP,NLP,NLP,15,03/22/2022 12:00:00 AM
