2022-02-18T16-04-21,67846,ST CATHERINE HOSPITAL (9225),02/14/2022 12:00:00 AM,,5,,
2022-03-03T09-56-49,67846,ST CATHERINE HOSPITAL (9225),02/21/2022 12:00:00 AM,,15,15,02/28/2022 12:00:00 AM
2022-03-03T10-04-44,67846,ST CATHERINE HOSPITAL (9225),02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/02/2022 12:00:00 AM
2022-03-08T14-40-56,67846,ST CATHERINE HOSPITAL (9225),02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,15,15,03/07/2022 12:00:00 AM
2022-03-16T18-51-35,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/12/2022 12:00:00 AM
2022-03-18T09-58-11,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T11-03-37,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/16/2022 12:00:00 AM
2022-03-18T11-17-38,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-18T15-22-50,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T08-15-59,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/18/2022 12:00:00 AM
2022-03-19T11-58-02,67846,ST CATHERINE HOSPITAL (9225),NLP,NLP,NLP,15,03/19/2022 12:00:00 AM
