2022-02-18T16-04-21,70433,ST. TAMMANY PARISH HOSPITAL,02/14/2022 12:00:00 AM,,15,,
2022-03-03T09-56-49,70433,ST. TAMMANY PARISH HOSPITAL,02/28/2022 12:00:00 AM,,40,,
2022-03-03T09-56-49,70433,ST TAMMANY PARISH HOSP OUTPATIENT,02/21/2022 12:00:00 AM,,20,,
2022-03-03T10-04-44,70433,ST. TAMMANY PARISH HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,,
2022-03-03T10-04-44,70433,ST TAMMANY PARISH HOSP OUTPATIENT,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,70433,ST TAMMANY PARISH HOSP OUTPATIENT,02/21/2022 12:00:00 AM,02/23/2022 12:00:00 AM,20,,
2022-03-08T14-40-56,70433,ST. TAMMANY PARISH HOSPITAL,02/28/2022 12:00:00 AM,03/02/2022 12:00:00 AM,40,,
2022-04-19T05-39-24,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,17,04/18/2022 12:00:00 AM
2022-04-20T05-27-37,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,17,04/19/2022 12:00:00 AM
2022-04-21T05-29-54,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-22T05-26-18,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,17,04/20/2022 12:00:00 AM
2022-04-23T05-25-10,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-24T05-22-24,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-25T05-22-33,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,16,04/22/2022 12:00:00 AM
2022-04-26T05-20-54,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,10,04/25/2022 12:00:00 AM
2022-04-27T05-23-49,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,10,04/26/2022 12:00:00 AM
2022-04-28T09-22-45,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,29,04/27/2022 12:00:00 AM
2022-04-29T05-13-54,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,29,04/28/2022 12:00:00 AM
2022-04-30T05-15-55,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,23,04/29/2022 12:00:00 AM
2022-05-01T05-13-51,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,23,04/29/2022 12:00:00 AM
2022-05-02T06-02-50,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,23,04/29/2022 12:00:00 AM
2022-05-03T06-05-23,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,23,05/02/2022 12:00:00 AM
2022-05-04T05-12-02,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,23,05/02/2022 12:00:00 AM
2022-05-05T09-49-47,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,15,05/04/2022 12:00:00 AM
2022-05-06T06-12-41,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,15,05/05/2022 12:00:00 AM
2022-05-07T05-45-31,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,32,05/06/2022 12:00:00 AM
2022-05-08T10-02-59,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,32,05/06/2022 12:00:00 AM
2022-05-09T05-08-14,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,32,05/06/2022 12:00:00 AM
2022-05-10T06-06-54,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,26,05/09/2022 12:00:00 AM
2022-05-11T06-51-12,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,26,05/09/2022 12:00:00 AM
2022-05-12T07-16-49,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,37,05/11/2022 12:00:00 AM
2022-05-13T06-07-31,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,26,05/12/2022 12:00:00 AM
2022-05-14T08-49-14,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
2022-05-15T05-54-13,70433,OCHSNER ST TAMMANY CANCER CENTER,NLP,NLP,NLP,19,05/13/2022 12:00:00 AM
